         A    B    C    D    E    F    G    H    I    J
_____________________________________________________________
     |
 1   |  99    3    8   23   23   20   10    5   11   10
     |
 2   |   7    6   11   15   10    0    0    0    0    2
     |
 3   |   8   10   12   21    0    0    0    0    0    0
     |
 4   |  10   10   12    0    0    0    0    0    0    0
     |
 5   |  14   11   19    0    0    0    0    0    0    0
     |
 6   |  38   12   32   23    0    0    0    0    0    0
     |
 7   |  43   17   62    0    0    0    0    0    0    0
     |
 8   |  64   27   87    0    0    0    0    0    0    0
     |
 9   |  71   31    0    0    0    0    0    0    0    0
     |
10   |  80   54   90   11   15   15   18   20   23   34
     |
